url,status,title,language,canonical,robots,inSitemap,reachableFromHome,matchesLocalDist
https://paloframework.org/,200,PALO Framework | Principled AI Lifecycle Orchestration,en,https://paloframework.org/,"index, follow",True,True,True
https://paloframework.org/CHANGELOG.html,200,Changelog | PALO Documentation,en,https://paloframework.org/CHANGELOG.html,"index,follow",False,True,True
https://paloframework.org/CONTRIBUTING.html,200,Contributing to PALO Framework | PALO Documentation,en,https://paloframework.org/CONTRIBUTING.html,"index,follow",False,True,True
https://paloframework.org/PALO_AIGovernance.html,200,PALO-AI Governance | Developer Preview,en,https://paloframework.org/PALO_AIGovernance.html,"index, follow",True,True,True
https://paloframework.org/PALO_AIIncidentObservatory.html,200,Case 001: OpenAI / Hugging Face Incident Through PALO | PALO AI Incident Observatory,en,https://paloframework.org/PALO_AIIncidentObservatory.html,"index, follow",True,True,True
https://paloframework.org/PALO_AIProductionReadiness.html,200,PALO-AI Production Readiness,en,https://paloframework.org/PALO_AIProductionReadiness.html,,True,True,True
https://paloframework.org/PALO_AIQuickstarts.html,200,"PALO-AI Quickstarts | Code, n8n and Copilot Studio",en,https://paloframework.org/PALO_AIQuickstarts.html,,True,True,True
https://paloframework.org/PALO_AIWhy.html,200,Why PALO-AI | Full-Cycle Agentic Assurance,en,https://paloframework.org/PALO_AIWhy.html,,True,True,True
https://paloframework.org/PALO_AgenticCapabilityMatrix.html,200,PALO-AI v2.7 Capability Matrix,en,https://paloframework.org/PALO_AgenticCapabilityMatrix.html,,True,True,True
https://paloframework.org/PALO_AgenticGovernance.html,200,PALO-AM: Agentic Governance Modality | PALO Framework,en,https://paloframework.org/PALO_AgenticGovernance.html,"index, follow",True,True,True
https://paloframework.org/PALO_AssessmentPath.html,200,PALO Evidence Pack | Reviewable AI Governance Evidence,en,https://paloframework.org/PALO_AssessmentPath.html,"index, follow",True,True,True
https://paloframework.org/PALO_AuditBench.html,200,AuditBench Explorer | PALO Framework,en,https://paloframework.org/PALO_AuditBench.html,"index, follow",True,True,True
https://paloframework.org/PALO_Community.html,200,Community and Open Collaboration | PALO Framework,en,https://paloframework.org/PALO_Community.html,"index, follow",True,True,True
https://paloframework.org/PALO_CompanionApp.html,200,P.A.L.O. Framework Toolbox | Mobile AI Governance,en,https://paloframework.org/PALO_CompanionApp.html,"index, follow",True,True,True
https://paloframework.org/PALO_ComparisonTool.html,200,PALO Assessment Comparison Tool,en,https://paloframework.org/PALO_ComparisonTool.html,,True,True,True
https://paloframework.org/PALO_DocumentationHub.html,200,Documentation has moved | PALO Framework,en,https://paloframework.org/PALO_DocumentationLibrary.html,"noindex,follow",False,False,True
